Duration (s),Throughput (MiB/s)
99.632,10.27782239
89.771,11.40680175
104.861,9.765308361
90.815,11.27567032
96.457,10.61612947
95.54,10.71802386
86.914,11.78176128
102.334,10.00644947
94.134,10.87810993
97.986,10.45047252
94.075,10.88493223
125.551,8.15604814
100.382,10.20103206
100.772,10.16155281
112.43,9.107889353
98.665,10.37855369
93.568,10.94391245
98.309,10.41613687
109.972,9.311461099
91.082,11.24261654
103.983,9.847763577
92.81,11.03329383
108.805,9.4113322
95.924,10.6751178
96.104,10.65512362
83.939,12.19933523
101.538,10.08489433
82.764,12.37252912
92.76,11.03924105
107.527,9.523189524
