Duration (s),Throughput (MiB/s)
23.486,43.60044282
37.553,27.26812771
24.552,41.70739655
28.581,35.82799762
29.499,34.71304112
24.634,41.56856377
24.091,42.50549998
23.961,42.73611285
30.327,33.76529165
24.063,42.5549599
43.607,23.48246841
28.219,36.28760764
32.37,31.63422922
29.109,35.1781236
43.391,23.59936392
27.974,36.60541932
23.735,43.14303771
24.624,41.58544509
27.979,36.59887773
46.117,22.20439317
24.937,41.06347997
36.07,28.38924314
64.111,15.97229805
23.216,44.10751206
35.207,29.08512512
29.296,34.95357728
30.537,33.533091
24.487,41.81810757
46.554,21.99596168
56.969,17.97468799
